QUEST_LV_0500_20200227_000031	クラペダ依頼所の受付係ラムダの依頼で、{nl}トビルトゥマスの要塞でヌカウォリアー、ヌオアサシンを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 누카 전사, 누오 암살자 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000032	アクラスペタルウォリアーを退治	아클라스 페탈 전사 처치	
QUEST_LV_0500_20200227_000033	クラペダ依頼所の受付係ラムダの依頼で、{nl}トビルトゥマスの要塞でアクラスペタルウォリアーを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 아클라스 페탈 전사 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000034	リビングアーマーを退治	리빙 아머 처치	
QUEST_LV_0500_20200227_000035	クラペダ依頼所の受付係ラムダの依頼で、{nl}トビルトゥマスの要塞でリビングアーマーを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 리빙 아머 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000036	イルガランカを退治	일가란카 처치	
QUEST_LV_0500_20200227_000037	クラペダ依頼所の受付係ラムダの依頼で、{nl}トビルトゥマスの要塞でイルガランカを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 일가란카 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000038	ブロガーズゴブリンライダー、ネッコを退治	블로거즈 고블린 라이더, 넥코 처치	
QUEST_LV_0500_20200227_000039	クラペダ依頼所の受付係ラムダの依頼で、{nl}スカルダ外郭でブロガーズゴブリンライダー、ネッコを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 블로거즈 고블린 라이더, 넥코 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000040	グレーウルフを退治	그레이 울프 처치	
QUEST_LV_0500_20200227_000041	クラペダ依頼所の受付係ラムダの依頼で、{nl}スカルダ外郭でグレーウルフを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 그레이 울프 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000042	ブロガーズゴブリンアーチャーを退治	블로거즈 고블린 궁수 처치	
QUEST_LV_0500_20200227_000043	クラペダ依頼所の受付係ラムダの依頼で、{nl}スカルダ外郭でブロガーズゴブリンアーチャーを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 블로거즈 고블린 궁수 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000044	グレーウルフチーフを退治	그레이 울프 치프 처치	
QUEST_LV_0500_20200227_000045	クラペダ依頼所の受付係ラムダの依頼で、{nl}スカルダ外郭でグレーウルフチーフを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 그레이 울프 치프 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000046	ダブルアックスオークを退治	오크 살수병 처치	
QUEST_LV_0500_20200227_000047	クラペダ依頼所の受付係ラムダの依頼で、{nl}リンクスマスの廃墟でダブルアックスオークを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 살수병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000048	オークシャーマンを退治	오크 주술사 처치	
QUEST_LV_0500_20200227_000049	クラペダ依頼所の受付係ラムダの依頼で、{nl}リンクスマスの廃墟でオークシャーマンを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 주술사 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000050	オーク盾兵を退治	오크 방패병 처치	
QUEST_LV_0500_20200227_000051	クラペダ依頼所の受付係ラムダの依頼で、{nl}リンクスマスの廃墟でオーク盾兵を退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 방패병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000052	オークリーダーを退治	오크 리더 처치	
QUEST_LV_0500_20200227_000053	クラペダ依頼所の受付係ラムダの依頼で、{nl}リンクスマスの廃墟でオークリーダーを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 리더 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000054	リンクスマスの廃墟のモンスター退治	링크스마스 폐허의 몬스터 처치	
QUEST_LV_0500_20200227_000055	クラペダ依頼所の受付係ラムダの依頼で、{nl}リンクスマスの廃墟で十分な数のモンスター退治を遂行してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 충분한 수의 몬스터 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000056	オークキャノン兵を退治	오크 캐논병 처치	
QUEST_LV_0500_20200227_000057	クラペダ依頼所の受付係ラムダの依頼で、{nl}終焉の道でオークキャノン兵を退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 캐논병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000058	オーク旗兵を退治	오크 깃발병 처치	
QUEST_LV_0500_20200227_000059	クラペダ依頼所の受付係ラムダの依頼で、{nl}終焉の道でオーク旗兵を退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 깃발병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000060	オーク隊長を退治	오크 대장 처치	
QUEST_LV_0500_20200227_000061	クラペダ依頼所の受付係ラムダの依頼で、{nl}終焉の道でオーク隊長を退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 대장 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000062	終焉の道のモンスターを退治	종언의 길의 몬스터 처치	
QUEST_LV_0500_20200227_000063	クラペダ依頼所の受付係ラムダの依頼で、{nl}終焉の道で十分な数のモンスター退治を遂行してください。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 충분한 수의 몬스터 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000064	クラペダ依頼所の受付係ラムダの依頼で、トビルトゥマスの要塞でヌカウォリアー、ヌオアサシンを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 누카 전사, 누오 암살자 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000065	クラペダ依頼所の受付係ラムダの依頼で、トビルトゥマスの要塞でアクラスペタルウォリアーを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 아클라스 페탈 전사 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000066	クラペダ依頼所の受付係ラムダの依頼で、トビルトゥマスの要塞でリビングアーマーを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 리빙 아머 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000067	クラペダ依頼所の受付係ラムダの依頼で、トビルトゥマスの要塞でイルガランカを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 일가란카 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000068	クラペダ依頼所の受付係ラムダの依頼で、スカルダ外郭でブロガーズゴブリンライダー、ネッコを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 블로거즈 고블린 라이더, 넥코 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000069	クラペダ依頼所の受付係ラムダの依頼で、スカルダ外郭でグレーウルフを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 그레이 울프 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000070	クラペダ依頼所の受付係ラムダの依頼で、スカルダ外郭でブロガーズゴブリンアーチャーを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 블로거즈 고블린 궁수 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000071	クラペダ依頼所の受付係ラムダの依頼で、スカルダ外郭でグレーウルフチーフを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 그레이 울프 치프 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000072	クラペダ依頼所の受付係ラムダの依頼で、リンクスマスの廃墟でダブルアックスオークを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 살수병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000073	クラペダ依頼所の受付係ラムダの依頼で、リンクスマスの廃墟でオークシャーマンを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 주술사 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000074	クラペダ依頼所の受付係ラムダの依頼で、リンクスマスの廃墟でオーク盾兵を退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 방패병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000075	クラペダ依頼所の受付係ラムダの依頼で、リンクスマスの廃墟でオークリーダーを退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 리더 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000076	クラペダ依頼所の受付係ラムダの依頼で、リンクスマスの廃墟で十分な数のモンスター退治を遂行してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 충분한 수의 몬스터 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000077	クラペダ依頼所の受付係ラムダの依頼で、終焉の道でオークキャノン兵を退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 오크 캐논병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000078	クラペダ依頼所の受付係ラムダの依頼で、終焉の道でオーク旗兵を退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 오크 깃발병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000079	クラペダ依頼所の受付係ラムダの依頼で、終焉の道でオーク隊長を退治してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 오크 대장 처치를 수행해야 합니다.	
QUEST_LV_0500_20200227_000080	クラペダ依頼所の受付係ラムダの依頼で、終焉の道で十分な数のモンスター退治を遂行してください。	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 충분한 수의 몬스터 처치를 수행해야 합니다.	
QUEST_LV_0500_20200403_000081	Wait, could it be...are you the Revelator?	잠시만요, 혹시 계시자인가요?
QUEST_LV_0500_20200403_000082	We are in grave danger.{nl}Ever since Medzio Diena, the dimension started collapsing from time to time.	큰일입니다.{nl}신수의 날 이후로 종종 차원이 붕괴하는 현상이 나타나고 있어요.{nl}
QUEST_LV_0500_20200403_000083	The monsters nearby accelerate the collapse.{nl}This will spread to the whole continent if not prevented beforehand.{nl} I need the help of the Revelator as it is a matter beyond my power.{nl} Please, lend me a hand.	더군다나 근처의 몬스터들이 붕괴를 가속하고 있죠.{nl}막지 않으면 차원 붕괴가 대륙 전역으로 번질 거예요.{nl}저 혼자서는 벅찬일이라 계시자들에게 도움을 구하고 있습니다.{nl}이렇게 부탁드립니다.
QUEST_LV_0500_20200403_000084	Be careful not to get swept into the dimensional collapse.{nl} It would be wise to approach when you're fully prepared.  	차원 붕괴에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}준비가 충분하지 않으면 가까이 가지 않는 게 좋습니다.
QUEST_LV_0500_20200403_000085	Prevent the dimension from collapsing	차원 붕괴 저지
QUEST_LV_0500_20200403_000086	That's correct.	계시자가 맞다고 한다.
QUEST_LV_0500_20200403_000087	Not really.	계시자가 아니라고 한다.
QUEST_LV_0500_20200403_000088	Talk to the Sage Envoy.	세이지 파견원과 대화하기.
QUEST_LV_0500_20200403_000089	The Sage Envoy at the Fallen City is providing Revelators something. Talk to the Sage Envoy.	폐도에 위치한 세이지 파견원이 계시자들에게 무언가를 지급하고 있습니다. 세이지 파견원과 대화하세요.
